trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-68.7740822738049,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-165.8130596986594,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-99.16316430619956,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-36.70974054200964,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-100.97664846391126,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-138.03974479068626,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-158.65517791257105,"{0: 14, 1: 5, 2: 1, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-124.92050795739416,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,6,-123.22902641422183,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-131.95498581669938,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-59.54865120033691,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-69.04879186769043,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-85.31947880563614,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-62.45072079247967,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-240.38518918894073,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-203.21450982717764,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-203.99934641051237,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-34.10747868718747,"{0: 20, 1: 3, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,13,-29.980396271552443,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-32.01541349755769,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-28.566768199073927,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
