trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.995}",25,0,-72.45960276850774,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.990025}",25,0,-231.6304559929652,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.985074875}",25,0,-101.72375840937393,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9801495006250001}",25,0,-115.77186306009956,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9752487531218751}",20,0,-58.38728038236133,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9703725093562657}",25,0,-135.78860751391625,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9655206468094844}",20,0,-33.075168788054235,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.960693043575437}",25,0,-146.74050842970388,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9558895783575597}",20,0,-31.08132992426941,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9511101304657719}",20,0,-108.21239725451258,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.946354579813443}",25,0,-226.1338200503181,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.9416228069143757}",25,0,-132.16546584118632,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9369146928798039}",20,0,-24.508553606438262,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9322301194154049}",20,0,-203.51694341863578,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9275689688183278}",20,0,-76.8981373376893,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9229311239742362}",20,0,-87.42018833532943,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.918316468354365}",25,0,-88.72957285547277,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9137248860125932}",20,0,-85.40866394175568,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9091562615825302}",25,0,-174.04924950085015,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9046104802746175}",25,13,-64.3546806576912,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9000874278732445}",30,0,-159.05849665834958,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8955869907338783}",25,0,-153.9610858559584,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.8911090557802088}",25,0,-79.83660024696049,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
