trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-407.4619739441816,"{0: 11, 1: 0, 2: 18, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.246743222101344,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.1815154021397,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.13958667582327,"{0: 5, 1: 0, 2: 15, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.8316203661667,"{0: 9, 1: 0, 2: 14, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.51299601572852,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.5967108097266,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.4867690207161,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.7268201308669,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.3437782810832,"{0: 10, 1: 0, 2: 15, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-239.0645781256099,"{0: 5, 1: 0, 2: 12, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.51375852373658,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-333.5691592957911,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.71999339698644,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-277.9151456846373,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.8005518657874,"{0: 7, 1: 0, 2: 18, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-291.58777215122046,"{0: 7, 1: 0, 2: 14, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-232.5486318692805,"{0: 14, 1: 0, 2: 13, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.4745400074489,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.11291651556806,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.98205434803265,"{0: 15, 1: 0, 2: 13, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-271.3893725740556,"{0: 9, 1: 0, 2: 12, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.05575201869013,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.1006972555839,"{0: 6, 1: 0, 2: 12, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-210.9530509599093,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-266.57023436693777,"{0: 5, 1: 0, 2: 11, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.5573269663481,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.04178918027387,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-222.41759868005573,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-278.9079246820164,"{0: 9, 1: 0, 2: 12, 3: 0, 4: 4}",0
